iter	Passed	Remaining
772	3954	1161
773	3959	1156
774	3964	1150
775	3969	1145
776	3974	1140
777	3978	1135
778	3983	1130
779	3988	1125
780	3994	1119
781	3999	1114
782	4004	1109
783	4009	1104
784	4014	1099
785	4020	1094
786	4025	1089
787	4030	1084
788	4035	1079
789	4040	1074
790	4045	1068
791	4050	1063
792	4055	1058
793	4061	1053
794	4066	1048
795	4071	1043
796	4076	1038
797	4081	1033
798	4087	1028
799	4092	1023
800	4097	1018
801	4103	1012
802	4108	1007
803	4113	1002
804	4118	997
805	4124	992
806	4129	987
807	4134	982
808	4139	977
809	4145	972
810	4150	967
811	4155	962
812	4161	957
813	4166	952
814	4171	946
815	4176	941
816	4181	936
817	4186	931
818	4191	926
819	4196	921
820	4201	916
821	4207	911
822	4212	905
823	4217	900
824	4222	895
825	4228	890
826	4233	885
827	4238	880
828	4244	875
829	4249	870
830	4254	865
831	4259	860
832	4264	855
833	4270	849
834	4275	844
835	4280	839
836	4285	834
837	4290	829
838	4295	824
839	4301	819
840	4306	814
841	4311	809
842	4316	803
843	4321	798
844	4326	793
845	4331	788
846	4337	783
847	4342	778
848	4347	773
849	4352	768
850	4358	763
851	4363	757
852	4368	752
853	4374	747
854	4379	742
855	4384	737
856	4389	732
857	4394	727
858	4400	722
859	4405	717
860	4410	712
861	4416	706
862	4421	701
863	4426	696
864	4431	691
865	4436	686
866	4441	681
867	4446	676
868	4451	671
869	4457	666
870	4462	660
871	4467	655
872	4472	650
873	4477	645
874	4482	640
875	4488	635
876	4493	630
877	4498	625
878	4503	619
879	4508	614
880	4513	609
881	4518	604
882	4523	599
883	4528	594
884	4533	589
885	4538	583
886	4543	578
887	4548	573
888	4554	568
889	4559	563
890	4563	558
891	4569	553
892	4574	548
893	4579	542
894	4584	537
895	4590	532
896	4595	527
897	4600	522
898	4606	517
899	4611	512
900	4616	507
901	4621	502
902	4626	496
903	4631	491
904	4636	486
905	4641	481
906	4646	476
907	4651	471
908	4657	466
909	4662	461
910	4667	456
911	4673	450
912	4678	445
913	4683	440
914	4688	435
915	4694	430
916	4699	425
917	4704	420
918	4709	415
919	4714	409
920	4720	404
921	4725	399
922	4730	394
923	4735	389
924	4740	384
925	4745	379
926	4750	374
927	4755	368
928	4761	363
929	4766	358
930	4771	353
931	4777	348
932	4781	343
933	4786	338
934	4791	333
935	4796	327
936	4801	322
937	4807	317
938	4812	312
939	4817	307
940	4822	302
941	4827	297
942	4833	292
943	4838	287
944	4843	281
945	4848	276
946	4853	271
947	4858	266
948	4864	261
949	4869	256
950	4874	251
951	4879	246
952	4884	240
953	4889	235
954	4894	230
955	4899	225
956	4905	220
957	4910	215
958	4915	210
959	4921	205
960	4926	199
961	4931	194
962	4936	189
963	4941	184
964	4946	179
965	4951	174
966	4957	169
967	4962	164
968	4967	158
969	4972	153
970	4977	148
971	4982	143
972	4987	138
973	4992	133
974	4997	128
975	5002	123
976	5008	117
977	5012	112
978	5017	107
979	5022	102
980	5028	97
981	5033	92
982	5039	87
983	5044	82
984	5050	76
985	5055	71
986	5061	66
987	5067	61
988	5072	56
989	5077	51
990	5083	46
991	5089	41
992	5094	35
993	5099	30
994	5105	25
995	5110	20
996	5115	15
997	5121	10
998	5126	5
999	5132	0
